Year,Sex,Value
2000,,0.9
2000,MALE,1
2000,FEMALE,0.7
2001,,0.8
2001,MALE,1
2001,FEMALE,0.6
2002,,0.6
2002,MALE,0.8
2002,FEMALE,0.4
2003,,0.5
2003,MALE,0.7
2003,FEMALE,0.5
2004,,0.5
2004,MALE,0.7
2004,FEMALE,0.3
2005,,0.6
2005,MALE,0.7
2005,FEMALE,0.4
2006,,0.6
2006,MALE,0.8
2006,FEMALE,0.4
2007,,0.5
2007,MALE,0.7
2007,FEMALE,0.2
2008,,0.5
2008,MALE,0.7
2008,FEMALE,0.2
2009,,0.4
2009,MALE,0.6
2009,FEMALE,0.2
2010,,0.4
2010,MALE,0.7
2010,FEMALE,0.2
2011,,0.4
2011,MALE,0.6
2011,FEMALE,0.2
2012,,0.6
2012,MALE,0.8
2012,FEMALE,0.3
2013,,0.5
2013,MALE,0.7
2013,FEMALE,0.3
2014,,0.4
2014,MALE,0.5
2014,FEMALE,0.3
2015,,0.4
2015,MALE,0.6
2015,FEMALE,0.3
2016,,0.6
2016,MALE,0.8
2016,FEMALE,0.4
2017,,0.6
2017,MALE,0.8
2017,FEMALE,0.3
2018,,0.6
2018,MALE,0.8
2018,FEMALE,0.3
